TIPO,Variable en FluidSim,Nombre o Descripcion
ENTRADAS,S5,START (Boton de Arranque)
ENTRADAS,S3,STOP (Boton de Paro)
ENTRADAS,S1,EMERGENCY_STOP (Paro de Emergencia - NC)
ENTRADAS,S4,MODE_CONTINUOUS (Selector Ciclo Continuo)
ENTRADAS,S2,MODE_SINGLE (Selector Ciclo Unico)
ENTRADAS,S_MAN,MODE_MANUAL (Selector Modo Manual)
ENTRADAS,S_PASO,MODE_STEP_BY_STEP (Selector Modo Paso a Paso)
ENTRADAS,BTN_PASO,BTN_STEP (Boton Avance Unico de Paso)
ENTRADAS,S18,S18 (Sensor Cuchilla/Dobla Alambre)
ENTRADAS,S21,S21 (Sensor Peine/Fin Alambre Atras)
ENTRADAS,S14,S14 (Sensor Pinza Abajo)
ENTRADAS,S9,S9 (Sensor Orientador/Fin de Alambre)
ENTRADAS,S19,S19 (Sensor Regresa Dobla Alambre)
ENTRADAS,S22,S22 (Sensor Empuja Alambre Adelante)
ENTRADAS,S15,S15 (Sensor Pinza Fuera)
ENTRADAS,S10,S10 (Sensor Pinza Posicionada/Mitad de Camino)
ENTRADAS,S20,S20 (Sensor Lengueta Final Carrera)
ENTRADAS,S16,S16 (Sensor Pinza Arriba)
ENTRADAS,S17,S17 (Sensor Pinza Adentro)
ENTRADAS,S11,S11 (Sensor Rasurador Bajando/Posicion Tijera)
ENTRADAS,S12,S12 (Sensor Tijera Arriba/Cierre)
ENTRADAS,S13,S13 (Sensor Cepillo Cortado)
ENTRADAS,S8,S8 (Sensor de Cerda)
ENTRADAS,S23,S23 (Sensor Presion Neumatica)
SALIDAS,M1,M1 (Motor Giro Principal / Retorcido)
SALIDAS,M2,M2 (Motor Rasurado)
SALIDAS,M3,M3 (Motor Aspirado / Succion)
SALIDAS,Y24,Y24 (Actuador Peine / Dobladora / Cachador Adelante)
SALIDAS,Y25,Y25 (Cachador Atras)
SALIDAS,Y1,Y1 (Valvula Orientadores)
SALIDAS,Y17,Y17 (Valvula Cizalla / Alambre)
SALIDAS,Y3,Y3 (Abrir / Cerrar Chucks)
SALIDAS,Y18,Y18 (Empujar Alambre Adelante)
SALIDAS,Y10,Y10 (Abre / Cierra Pinza)
SALIDAS,Y11,Y11 (Centrar Pinza / Orientacion)
SALIDAS,Y16,Y16 (Valvula Lengueta)
SALIDAS,Y15,Y15 (Peine y Dobladora de Alambre)
SALIDAS,Y9,Y9 (Subir / Bajar Pinza)
SALIDAS,Y14,Y14 (Baja Pinza a Posicion / Rasador)
SALIDAS,Y6,Y6 (Sube Pinza / Cabezal Rasurado)
SALIDAS,Y12,Y12 (Sube Cachador / Meter o Sacar Pinza)
SALIDAS,Y7,Y7 (Sube / Baja Tijera)
SALIDAS,Y8,Y8 (Abre / Cierra Tijera)
SALIDAS,Y_CUCH,Y_CuchillaAlambre (Cuchilla de Alambre Directa)
SALIDAS,H8,H8 (Alarma Baja Presion)
SALIDAS,H3,H3 (Alarma Nylon)
TEMPORIZADORES,2T7,T27 (2.5s - Temporizador Arranque y Orientacion)
TEMPORIZADORES,1T4,T114 (1.5s - Temporizador Agarre y Apertura Pinza)
TEMPORIZADORES,2T4,T4 (1.0s - Temporizador Salida Pinza)
TEMPORIZADORES,1T1,T1 (3.0s - Temporizador Rasurado Motor M2)
TEMPORIZADORES,2T5,T5 (2.0s - Temporizador Corte Tijera / Final)
MEMORIAS,Paso,Paso (Variable INT: Estado Actual de la Secuencia)
MEMORIAS,CondSig,CondicionSiguiente (BOOL: Flag de Cumplimiento de Paso)
MEMORIAS,SensEsp,Sensor_Esperado (STRING: Nombre del Sensor en Espera)
MEMORIAS,FallaBlk,Falla_Bloqueante (BOOL: Indicador de Detencion / Falla)
MEMORIAS,Auto_Y1,Auto_Y1 (Memoria Interna Salida Automatica Y1)
MEMORIAS,Auto_Y3,Auto_Y3 (Memoria Interna Salida Automatica Y3)
MEMORIAS,Auto_Y5,Auto_Y5 (Memoria Interna Salida Automatica Y5)
MEMORIAS,Auto_Y6,Auto_Y6 (Memoria Interna Salida Automatica Y6)
MEMORIAS,Auto_Y7,Auto_Y7 (Memoria Interna Salida Automatica Y7)
MEMORIAS,Auto_Y8,Auto_Y8 (Memoria Interna Salida Automatica Y8)
MEMORIAS,Auto_Y10,Auto_Y10 (Memoria Interna Salida Automatica Y10)
MEMORIAS,Auto_Y11,Auto_Y11 (Memoria Interna Salida Automatica Y11)
MEMORIAS,Auto_Y12,Auto_Y12 (Memoria Interna Salida Automatica Y12)
MEMORIAS,Auto_Y14,Auto_Y14 (Memoria Interna Salida Automatica Y14)
MEMORIAS,Auto_Y15,Auto_Y15 (Memoria Interna Salida Automatica Y15)
MEMORIAS,Auto_Y16,Auto_Y16 (Memoria Interna Salida Automatica Y16)
MEMORIAS,Auto_Y17,Auto_Y17 (Memoria Interna Salida Automatica Y17)
MEMORIAS,Auto_Y18,Auto_Y18 (Memoria Interna Salida Automatica Y18)
MEMORIAS,Auto_Y24,Auto_Y24 (Memoria Interna Salida Automatica Y24)
MEMORIAS,Auto_M1,Auto_M1 (Memoria Interna Motor M1 Automatico)
MEMORIAS,Auto_M2,Auto_M2 (Memoria Interna Motor M2 Automatico)
MEMORIAS,CMD_Y1,CMD_Y1 (Forzado Manual Y1 por HMI/PLC)
MEMORIAS,CMD_Y3,CMD_Y3 (Forzado Manual Y3 por HMI/PLC)
MEMORIAS,CMD_Y5,CMD_Y5 (Forzado Manual Y5 por HMI/PLC)
MEMORIAS,CMD_Y6,CMD_Y6 (Forzado Manual Y6 por HMI/PLC)
MEMORIAS,CMD_Y7,CMD_Y7 (Forzado Manual Y7 por HMI/PLC)
MEMORIAS,CMD_Y8,CMD_Y8 (Forzado Manual Y8 por HMI/PLC)
MEMORIAS,CMD_Y10,CMD_Y10 (Forzado Manual Y10 por HMI/PLC)
MEMORIAS,CMD_Y11,CMD_Y11 (Forzado Manual Y11 por HMI/PLC)
MEMORIAS,CMD_Y12,CMD_Y12 (Forzado Manual Y12 por HMI/PLC)
MEMORIAS,CMD_Y14,CMD_Y14 (Forzado Manual Y14 por HMI/PLC)
MEMORIAS,CMD_Y15,CMD_Y15 (Forzado Manual Y15 por HMI/PLC)
MEMORIAS,CMD_Y16,CMD_Y16 (Forzado Manual Y16 por HMI/PLC)
MEMORIAS,CMD_Y17,CMD_Y17 (Forzado Manual Y17 por HMI/PLC)
MEMORIAS,CMD_Y18,CMD_Y18 (Forzado Manual Y18 por HMI/PLC)
MEMORIAS,CMD_Y24,CMD_Y24 (Forzado Manual Y24 por HMI/PLC)
MEMORIAS,CMD_M1,CMD_M1 (Forzado Manual M1 por HMI/PLC)
MEMORIAS,CMD_M2,CMD_M2 (Forzado Manual M2 por HMI/PLC)
